Dist_Name,State_Name,DFSI,Human_fatality,Human_injured,Population,Mean_Flood_Duration,Percent_Flooded_Area,Parmanent_Water,Corrected_Percent_Flooded_Area,fatality_rate,injury_rate,risk_score,risk_tier
Mangaluru_Coastal_1,KARNATAKA,42.18,35,107,161958,24.0,22.95,4.49,18.46,21.610541,66.066511,98.15,Very High
Jeppu_Lowlands_1,KARNATAKA,43.43,114,108,177337,25.6,19.57,2.89,16.68,64.284385,60.900996,98.42,Very High
Kadri_Hills_1,KARNATAKA,10.17,1,4,318167,3.0,0.92,0.34,0.58,0.3143,1.257201,6.77,Low
Bunder_Port_1,KARNATAKA,39.15,63,63,254176,17.8,32.17,3.26,28.91,24.785975,24.785975,100.0,Very High
Bejai_Urban_1,KARNATAKA,20.55,48,3,4030409,5.1,17.66,0.59,17.07,1.190946,0.074434,30.34,Medium
Ullal_Beach_1,KARNATAKA,27.28,103,64,371236,11.2,22.6,4.02,18.58,27.745154,17.239707,79.1,Very High
Kulshekar_Ridge_1,KARNATAKA,8.18,3,6,279629,0.8,2.78,0.41,2.37,1.07285,2.1457,7.69,Low
Patna_Central_1,BIHAR,22.51,37,4,3169995,11.2,5.45,1.49,3.96,1.167194,0.126183,23.75,Low
Begusarai_East_1,BIHAR,20.02,30,18,5500193,8.1,7.7,1.35,6.35,0.545435,0.327261,21.01,Low
Arwal_Basin_1,BIHAR,23.2,49,15,2799435,8.4,16.63,2.38,14.25,1.750353,0.535822,33.28,Medium
Vaishali_Valley_1,BIHAR,25.56,22,16,3085031,11.7,11.77,1.64,10.13,0.713121,0.518633,31.4,Medium
Samastipur_Plain_1,BIHAR,21.12,46,29,5767180,6.2,15.77,1.04,14.73,0.797617,0.502845,28.81,Medium
Mangaluru_Coastal_2,KARNATAKA,37.75,150,67,416896,17.1,29.43,2.54,26.89,35.980196,16.071154,97.92,Very High
Jeppu_Lowlands_2,KARNATAKA,48.76,393,9,176330,24.2,37.21,3.0,34.21,222.877559,5.104066,100.0,Very High
Kadri_Hills_2,KARNATAKA,10.7,3,1,174633,3.5,1.37,0.21,1.16,1.717888,0.572629,10.19,Low
Bunder_Port_2,KARNATAKA,45.89,186,108,391279,22.0,36.06,3.43,32.63,47.536413,27.601788,100.0,Very High
Bejai_Urban_2,KARNATAKA,24.77,4,1,2621690,11.7,9.98,1.62,8.36,0.152573,0.038143,27.89,Medium
Ullal_Beach_2,KARNATAKA,42.87,221,19,254020,18.9,38.82,3.9,34.92,87.001024,7.479726,100.0,Very High
Kulshekar_Ridge_2,KARNATAKA,7.45,0,3,258969,0.6,1.31,0.06,1.25,0.0,1.15844,5.0,Low
Patna_Central_2,BIHAR,19.93,46,15,3831068,5.2,16.8,1.52,15.28,1.20071,0.391536,28.61,Medium
Begusarai_East_2,BIHAR,22.5,29,2,1713475,9.3,12.79,2.39,10.4,1.692467,0.116722,29.57,Medium
Arwal_Basin_2,BIHAR,25.61,45,20,3557213,10.2,16.33,1.77,14.56,1.265035,0.562238,35.5,Medium
Vaishali_Valley_2,BIHAR,26.26,40,33,2509021,11.1,15.5,1.58,13.92,1.594247,1.315254,37.28,Medium
Samastipur_Plain_2,BIHAR,23.82,42,3,3282592,10.4,10.55,0.96,9.59,1.279477,0.091391,29.48,Medium
Mangaluru_Coastal_3,KARNATAKA,40.84,239,55,539046,18.7,32.42,2.91,29.51,44.337589,10.203211,100.0,Very High
Jeppu_Lowlands_3,KARNATAKA,41.64,110,117,577833,15.8,43.46,3.34,40.12,19.036642,20.248065,100.0,Very High
Kadri_Hills_3,KARNATAKA,10.9,2,0,479792,2.9,2.35,0.16,2.19,0.416847,0.0,7.73,Low
Bunder_Port_3,KARNATAKA,38.19,144,58,631460,21.0,19.0,3.21,15.79,22.804295,9.185063,87.8,Very High
Bejai_Urban_3,KARNATAKA,20.97,27,32,769536,7.8,13.85,1.77,12.08,3.508608,4.15835,35.84,Medium
Ullal_Beach_3,KARNATAKA,48.4,137,149,721669,23.7,36.15,3.11,33.04,18.983772,20.646585,100.0,Very High
Kulshekar_Ridge_3,KARNATAKA,12.0,2,0,732517,2.7,5.24,0.22,5.02,0.273031,0.0,10.57,Low
Patna_Central_3,BIHAR,13.82,21,36,1904104,3.4,7.42,1.14,6.28,1.102881,1.890653,16.13,Low
Begusarai_East_3,BIHAR,20.43,8,33,4635314,6.1,15.52,1.92,13.6,0.172588,0.711926,26.35,Medium
Arwal_Basin_3,BIHAR,19.13,29,25,5171399,4.2,17.18,1.27,15.91,0.560777,0.483428,26.79,Medium
Vaishali_Valley_3,BIHAR,18.82,17,26,874705,5.3,16.41,2.35,14.06,1.943512,2.972431,30.7,Medium
Samastipur_Plain_3,BIHAR,24.55,13,5,2704664,12.0,8.39,1.53,6.86,0.480651,0.184866,27.25,Medium
Mangaluru_Coastal_4,KARNATAKA,31.34,161,52,157796,15.0,23.1,4.71,18.39,102.03047,32.953941,84.57,Very High
Jeppu_Lowlands_4,KARNATAKA,47.59,130,79,630978,26.0,28.92,4.64,24.28,20.602937,12.520246,100.0,Very High
Kadri_Hills_4,KARNATAKA,12.44,2,8,418480,2.6,7.24,0.12,7.12,0.47792,1.91168,14.83,Low
Bunder_Port_4,KARNATAKA,37.84,324,72,173272,19.9,22.34,2.51,19.83,186.989242,41.553165,93.65,Very High
Bejai_Urban_4,KARNATAKA,17.55,9,7,4455488,6.3,7.32,1.49,5.83,0.201998,0.15711,16.94,Low
Ullal_Beach_4,KARNATAKA,41.48,389,26,650704,19.2,32.65,3.27,29.38,59.781406,3.995672,97.25,Very High
Kulshekar_Ridge_4,KARNATAKA,12.15,2,1,440109,2.2,7.84,0.32,7.52,0.454433,0.227216,13.32,Low
Patna_Central_4,BIHAR,20.64,6,19,2514484,7.4,12.5,1.51,10.99,0.238618,0.755622,25.32,Medium
Begusarai_East_4,BIHAR,23.45,31,29,4272962,12.0,5.57,2.04,3.53,0.725492,0.678686,24.08,Low
Arwal_Basin_4,BIHAR,13.86,25,29,1631565,3.1,9.81,2.33,7.48,1.532271,1.777435,17.81,Low
Vaishali_Valley_4,BIHAR,25.84,22,32,2431760,11.8,12.44,1.61,10.83,0.904695,1.315919,33.38,Medium
Samastipur_Plain_4,BIHAR,19.67,32,3,4351424,8.0,7.2,1.13,6.07,0.735391,0.068943,20.66,Low
Mangaluru_Coastal_5,KARNATAKA,52.65,141,134,485101,27.8,34.61,2.74,31.87,29.066112,27.623114,100.0,Very High
Jeppu_Lowlands_5,KARNATAKA,46.25,190,43,216089,22.6,36.82,4.35,32.47,87.926734,19.899208,100.0,Very High
Kadri_Hills_5,KARNATAKA,9.74,4,9,619036,1.4,3.65,0.18,3.47,0.646166,1.453873,8.59,Low
Bunder_Port_5,KARNATAKA,46.65,156,119,288710,21.7,39.55,3.75,35.8,54.033459,41.217831,100.0,Very High
Bejai_Urban_5,KARNATAKA,19.95,23,25,948982,6.9,12.53,0.56,11.97,2.42365,2.634402,31.18,Medium
Ullal_Beach_5,KARNATAKA,39.19,356,53,92921,20.6,25.74,3.86,21.88,383.121146,57.037699,97.16,Very High
Kulshekar_Ridge_5,KARNATAKA,8.0,0,7,110313,0.9,3.2,0.42,2.78,0.0,6.34558,9.76,Low
Patna_Central_5,BIHAR,22.49,7,32,2485588,7.1,17.55,1.04,16.51,0.281624,1.287422,32.0,Medium
Begusarai_East_5,BIHAR,17.03,17,13,949395,4.2,14.09,1.32,12.77,1.790614,1.369293,25.94,Medium
Arwal_Basin_5,BIHAR,22.89,20,28,3879569,10.2,9.2,1.53,7.67,0.515521,0.72173,26.01,Medium
Vaishali_Valley_5,BIHAR,14.23,10,12,1923286,3.7,7.4,1.0,6.4,0.519943,0.623932,14.67,Low
Samastipur_Plain_5,BIHAR,22.48,33,25,3720468,7.0,16.9,0.62,16.28,0.886985,0.671958,32.17,Medium
Mangaluru_Coastal_6,KARNATAKA,41.46,206,73,216615,19.3,35.23,4.84,30.39,95.099601,33.700344,100.0,Very High
Jeppu_Lowlands_6,KARNATAKA,36.94,100,33,677717,20.2,19.29,4.33,14.96,14.755422,4.869289,78.71,Very High
Kadri_Hills_6,KARNATAKA,8.92,3,4,494605,1.6,1.21,0.09,1.12,0.606545,0.808726,5.48,Low
Bunder_Port_6,KARNATAKA,50.07,114,37,266507,24.5,38.61,2.54,36.07,42.775612,13.883313,100.0,Very High
Bejai_Urban_6,KARNATAKA,22.47,37,34,1607677,11.5,5.62,1.8,3.82,2.301457,2.114853,27.67,Medium
Ullal_Beach_6,KARNATAKA,42.23,271,73,690419,19.1,34.9,3.44,31.46,39.251527,10.57329,100.0,Very High
Kulshekar_Ridge_6,KARNATAKA,10.24,0,3,580652,2.7,1.03,0.12,0.91,0.0,0.516661,5.56,Low
Patna_Central_6,BIHAR,17.07,44,37,5892023,4.2,12.45,1.85,10.6,0.746772,0.627968,20.87,Low
Begusarai_East_6,BIHAR,27.48,45,29,4535851,11.1,17.5,1.27,16.23,0.992096,0.639351,38.42,Medium
Arwal_Basin_6,BIHAR,15.36,36,23,4803244,3.4,9.9,0.93,8.97,0.749493,0.478843,17.6,Low
Vaishali_Valley_6,BIHAR,21.83,35,7,4263024,9.1,10.01,1.81,8.2,0.821013,0.164203,25.1,Medium
Samastipur_Plain_6,BIHAR,24.42,37,25,4697571,11.4,9.53,1.89,7.64,0.787641,0.53219,28.11,Medium
Mangaluru_Coastal_7,KARNATAKA,38.03,206,103,100692,17.6,32.8,4.92,27.88,204.584277,102.292138,99.86,Very High
Jeppu_Lowlands_7,KARNATAKA,39.12,165,41,125999,20.4,24.75,2.82,21.93,130.95342,32.539941,96.92,Very High
Kadri_Hills_7,KARNATAKA,12.45,0,0,346955,3.1,6.13,0.24,5.89,0.0,0.0,11.72,Low
Bunder_Port_7,KARNATAKA,40.29,201,23,674736,15.8,40.31,3.76,36.55,29.789429,3.408741,100.0,Very High
Bejai_Urban_7,KARNATAKA,26.88,10,7,2775504,10.6,17.46,0.61,16.85,0.360295,0.252206,36.97,Medium
Ullal_Beach_7,KARNATAKA,45.63,381,148,99163,20.3,43.67,4.88,38.79,384.215887,149.249216,100.0,Very High
Kulshekar_Ridge_7,KARNATAKA,11.31,3,4,690308,2.9,2.96,0.18,2.78,0.434589,0.579451,8.93,Low
Patna_Central_7,BIHAR,22.89,40,14,2919862,11.4,6.48,2.06,4.42,1.369928,0.479475,25.25,Medium
Begusarai_East_7,BIHAR,22.6,12,18,3509758,7.9,14.58,0.61,13.97,0.341904,0.512856,29.64,Medium
Arwal_Basin_7,BIHAR,25.88,39,7,2276203,10.8,15.88,1.88,14.0,1.71338,0.30753,36.33,Medium
Vaishali_Valley_7,BIHAR,21.31,3,5,1832397,10.4,5.95,1.9,4.05,0.16372,0.272867,20.97,Low
Samastipur_Plain_7,BIHAR,25.22,23,17,4165060,10.8,12.56,0.97,11.59,0.552213,0.408157,31.43,Medium
Mangaluru_Coastal_8,KARNATAKA,43.38,289,112,732440,22.7,27.46,3.98,23.48,39.457157,15.291355,100.0,Very High
Jeppu_Lowlands_8,KARNATAKA,33.53,140,145,274677,15.9,24.72,4.26,20.46,50.968956,52.789276,88.4,Very High
Kadri_Hills_8,KARNATAKA,12.87,0,6,704795,3.2,6.06,0.31,5.75,0.0,0.851311,12.38,Low
Bunder_Port_8,KARNATAKA,42.7,383,60,603586,16.7,43.98,3.96,40.02,63.454089,9.940588,100.0,Very High
Bejai_Urban_8,KARNATAKA,18.05,33,21,4908224,3.1,17.52,0.95,16.57,0.672341,0.427853,26.09,Medium
